card name,question,answer
"Corruptor","Does the type of my minions change everywhere, or just in the realm?","Everywhere!"
"","Does this ability completely replace their normal type, or simply add a new type?","It adds an additional type. For example, your Mortals are Undead and Mortals and would still be silenced by Bower of Bliss. As another example, your Beasts are Monsters and Beasts, so you would still get the discount from a Pond."
"Courtesan Thaïs","What does it mean for one player to be controlled by another player?","If you control a player, you see all their cards and make all decisions for them. You still must make legal choices for them. For example, you still cannot force their minion to move into the void (without Voidwalk) or attack themselves."
"","What happens if there are multiple copies of Courtesan Thaïs played, overlapping each other?","The effects can overlap. They do not add additional turns of control beyond what's specified by card text. For example, Turn 1: Player A plays Courtesan 1. Turn 2: Player B is controlled by Player A due to Courtesan 1's effect, and plays Courtesan 2. Turn 3: Player A is controlled by Player B due to Courtesan 1's effect and Courtesan 2's effect. Turn 4: Player B is controlled by Player A due to Courtesan 2's effect."
"","The beta foil version has 1 fire threshold and the normal version has 2 fire threshold. Which is correct?","The normal version is correct. You still need 2 fire affinity to cast this minion."
"","What happens if my turn is skipped via Vaults of Zul and Courtesan Thaïs is affecting me?","If a turn is skipped then there's no actual turn, which means that part of Courtesan Thaïs's effect would wait for that player's next actual turn."
"","When I control my opponent's turn, can I force them to concede?","No. Stop it."
"Cradle of Etherrum","Do I still need to meet threshold and summoning requirements when I cast the spell?","Yes. It must be cast during your main phase, to your own site, etc. It's an otherwise normal minion spell being cast, except that it's coming from the top of your library instead of your hand, and costs (1) less."
"","Is the ability to look at my top spell a passive abililty?","Yes. You may look any time on your turn, including during your Start Phase and End Phase."
"Craterize","Do I have to choose 'above' or 'below,' or does it damage both automatically?","There is a giant meteor landing in the realm! It damages both above and ((below)) - surface, underwater, and underground!"
"","All the empty boxes are void and the letters are sites. If the spell is cast from the surface of X, is Z affected?","Yes, because it's the same region as the spell effect, even though it's separated by void."
"Crave Golem","Can Crave Golem attack itself?","No, per normal attack restrictions (which the Crave Golem respects)."
"","Does it use normal targeting rules when attacking?","Yes, except that it may attack other allied minions if they happen to be the chosen target. It still cannot attack Airborne or Stealth units unless it gains a special ability that allows it to do so."
"","How do I properly resolve this ability?","First, identify all the minions that Crave Golem ))can attack(( within its range of motion. If there are one or more such minions: Randomly pick one, then move (if needed), and attack it. This counts as a normal attack and may be defended. For example, if there's one adjacent minion with Airborne and another without Airborne, it will attack the non-Airborne minion 100% of the time (unless Crave Golem somehow gained Airborne). If there are no such minions: Imagine the Crave Golem had unlimited movement. Are there any minions it could attack now? If not, it doesn't move and the ability is over. If so, take one step toward the minion that requires the fewest Crave Golem steps to reach. (Crave Golem's controller's choice if tied.) This movement cannot be intercepted."
"","Does it tap to take a step or attack?","No."
"","When it attacks, does the targeted unit strike back?","Yes."
"","When it attacks, do normal combat rules apply with defending?","Yes."
"Critical Strike","If I double twice, is it multiplied by 4?","Yes."
"Crown Prince","If I sacrifice Crown Prince (e.g. Moon Clan Werewolf, Cauldron Crones, etc.), does its deathrite still trigger?","Yes! When you sacrifice something, it dies, and thus triggers deathrite."
"Crusade","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your earth minions."
"Cursed Land","What happens if my opponent plays a site nearby Cursed Land that would silence it (e.g. Fields of Phyxis, Smokestacks of Gnaak)?","They will not lose life. This is because Cursed Land's ability is a triggered ability, but [[Fields of Phyxis]] and [[Smokestacks of Gnaak]] both have passive abilities which apply ongoing effects, and ongoing effects are applied before triggers."
